time,X,Y,Z
0,0.0,0,0
1,0.975513105827,0,0
2,1.34636268116,0,0
3,1.60991235575,0,0
4,1.81570910105,0,0
5,1.98360616123,1,1
6,2.12411949736,1,1
7,2.24369047823,1,1
8,2.34663809711,1,1
9,2.43604256995,1,1
10,2.5142007852,1,0
11,2.58288388493,1,0
12,2.64349349931,1,0
13,2.69716185455,1,0
14,2.74481882109,1,0
15,2.78723848971,1,0
16,2.82507253359,1,0
17,2.85887473658,1,0
18,2.8891194364,1,0
19,2.91621566551,1,0
20,2.94051818012,1,0
21,2.96233619251,1,0
22,2.98194037774,1,0
23,2.99956856277,1,0
24,3.015430395,1,0
25,3.02971120963,1,0
26,3.04257526084,1,0
27,3.05416844208,1,0
28,3.06462059214,1,0
29,3.07404746213,1,0
30,3.08255240285,1,0
31,3.09022781944,1,0
32,3.09715643134,1,0
33,3.10341236802,1,0
34,3.10906212553,1,0
35,3.11416540437,1,0
36,3.11877584567,1,0
37,3.12294167978,1,0
38,3.1267062992,1,0
39,3.13010876577,1,0
40,3.13318426064,1,0
41,3.13596448417,1,0
42,3.138478012,1,0
43,3.14075061249,1,0
44,3.14280553025,1,0
45,3.14466373951,1,0
46,3.14634417103,1,0
47,3.14786391526,1,0
48,3.14923840468,1,0
49,3.15048157736,1,0
50,3.15160602392,1,0
