time,X,Y,Z
0,0.0,0,0
1,0.95162581964,0,0
2,1.81269246922,0,0
3,2.59181779318,0,0
4,3.29679953964,0,0
5,3.93469340287,0,1
6,4.51188363906,0,1
7,5.03414696209,0,1
8,5.50671035883,0,1
9,5.93430340259,0,1
10,6.32120558829,0,0
11,6.67128916302,0,0
12,6.98805788088,0,0
13,7.27468206966,0,0
14,7.53403036058,0,0
15,7.76869839852,0,0
16,7.98103482005,0,0
17,8.17316475947,0,0
18,8.34701111778,0,0
19,8.50431380777,0,0
20,8.64664716763,0,0
21,8.77543571747,0,0
22,8.89196841638,0,0
23,8.99741156277,0,0
24,9.09282046711,0,0
25,9.17915001376,0,0
26,9.25726421786,0,0
27,9.3279448726,0,0
28,9.39189937375,0,0
29,9.44976779944,0,0
30,9.50212931632,0,0
31,9.54950797606,0,0
32,9.59237796022,0,0
33,9.63116832599,0,0
34,9.6662673004,0,0
35,9.69802616578,0,0
36,9.72676277553,0,0
37,9.7527647353,0,0
38,9.77629228144,0,0
39,9.79758088554,0,0
40,9.81684361111,0,0
41,9.83427324598,0,0
42,9.8500442318,0,0
43,9.86431440988,0,0
44,9.87722660097,0,0
45,9.88891003462,0,0
46,9.89948164255,0,0
47,9.90904722898,0,0
48,9.91770252951,0,0
49,9.92553416929,0,0
50,9.93262053001,0,0
