time,X,Y,Z
0,0.0,0,0
1,0.95162581964,0,0
2,1.81269246922,0,0
3,2.59181779318,0,0
4,3.29679953964,0,0
5,3.93469340287,1,1
6,4.51188363906,1,1
7,5.03414696209,1,1
8,5.50671035883,1,1
9,5.93430340259,1,1
10,6.32120558829,1,0
11,6.67128916302,1,0
12,6.98805788088,1,0
13,7.27468206966,1,0
14,7.53403036058,1,0
15,7.76869839852,1,0
16,7.98103482005,1,0
17,8.17316475947,1,0
18,8.34701111778,1,0
19,8.50431380777,1,0
20,8.64664716763,1,0
21,8.77543571747,1,0
22,8.89196841638,1,0
23,8.99741156277,1,0
24,9.09282046711,1,0
25,9.17915001376,1,0
26,9.25726421786,1,0
27,9.3279448726,1,0
28,9.39189937375,1,0
29,9.44976779944,1,0
30,9.50212931632,1,0
31,9.54950797606,1,0
32,9.59237796022,1,0
33,9.63116832599,1,0
34,9.6662673004,1,0
35,9.69802616578,1,0
36,9.72676277553,1,0
37,9.7527647353,1,0
38,9.77629228144,1,0
39,9.79758088554,1,0
40,9.81684361111,1,0
41,9.83427324598,1,0
42,9.8500442318,1,0
43,9.86431440988,1,0
44,9.87722660097,1,0
45,9.88891003462,1,0
46,9.89948164255,1,0
47,9.90904722898,1,0
48,9.91770252951,1,0
49,9.92553416929,1,0
50,9.93262053001,1,0
